,en,ig
11087,etc.,kpachasị
11088,entirely,kpachasị
11089,barb hair of head,kpachasị isi
11090,prepare palm fronds,kpa igwụ
11091,be cranky and noisy,kpakalakpakala
11092,be cranky and noisy,me kpakalakpakala
11093,star,kpakpaṅdo
11094,morning star,kpakpaṅdo ụtụtụ
11095,Passing away like the morning star,Na-agafe dịka kpa kpakpaṅdo ụtụtụ
11096,concern oneself with,kpa-kwu
11097,make friendly advances to,kpa-kwu
11098,befriend,kpa-kwu
11099,pigeon,kpalakwu kwu
11100,entirely,kpamkpam
11101,completely,kpamkpam
11102,I have finished the work completely,Alụchago m ọlụ afụ kpamkpam
11103,sound of knocking,kpamkpamkpam
11104,report,kpe
11105,judge,kpe
11106,He reported me,O kpelị m
11107,I shall report you to your master,Aga m ekpe gi n'aka nna gị ukwu
11108,reporting,okpukpe
11109,judging,okpukpe
11110,judge a case,kpe ikpe
11111,judge unfairly,kpejide
11112,make unfair report,kpejide
11113,injustice,mkpejide
11114,case,ikpe
11115,the judges,ndị ikpe
11116,pray,kpe
11117,beg,kpe
11118,Let us pray,Ka anyị kpeelu Chineke
11119,I have been begging him for a long time to leave me alone,O tego m jị ekpelu ya ka ọ rapụ m
11120,say prayer,kpe ekpelu
11121,say prayer,ekpele
11122,pray,kpe ekpelu
11123,pray,ekpele
11124,Let us pray,Ka anyị kpee ekpelu
11125,smear,kpe
11126,smearing,okpukpe
11127,smear with oil,kpe mmanụ
11128,steer canoe,kpe
11129,steer canoe,kpe ụgbọ
11130,be last,kpe
11131,bring up the rear,kpe
11132,be last,kpe azụ
11133,bring up the rear,kpe azụ
11134,the last thing,ịkpe azụ
11135,The final thing you should do is to fetch water and keep it in the house,Ife ịkpe azụ ị ga-eme bụ ije kute mmiịlị dọbe n'ụọ
11136,the last time,oge ịkpe azụ
11137,at the end of the time,oge ịkpe azụ
11138,at the end of the world,oge ịkpe azụ
11139,the last day,ụbọsị ịkpe azụ
11140,the day of judgment,ụbọsị ịkpe azụ
11141,come last,bịakpe azụ
11142,backbite,kpe
11143,slander,kpe
11144,speak evil of,kpe
11145,slander,kpecha
11146,slandering,mkpecha
11147,backbite,kpe ịkpe
11148,slander,kpe ịkpe
11149,speak evil of. Much practised by the Egwu Ọja dancers many years ago. The soloist in the course of her singing spoke to evil-doers who had been committing evil in secret,kpe ịkpe
11150,e.g. a thief or people involved in adultery,kpe ịkpe
11151,thereby bringing their anti-social practices to light,kpe ịkpe
11152,backbite,Egwu Ọja
11153,slander,Egwu Ọja
11154,speak evil of. Much practised by the Egwu Ọja dancers many years ago. The soloist in the course of her singing spoke to evil-doers who had been committing evil in secret,Egwu Ọja
11155,e.g. a thief or people involved in adultery,Egwu Ọja
11156,thereby bringing their anti-social practices to light,Egwu Ọja
11157,scrape,kpe
11158,strip off,kpecha
11159,strip and take the bark,kpechalụ
11160,strip off,kpechapụ
11161,strip off bark,kpechasị
11162,in circles,kpelekpele
11163,It moves in circles,Ọ na-agba kpelekpele
11164,cut hair,kpị
11165,cut hair,kpị isi
11166,cut hair very short,kpịcha isi
11167,gather,kpo
11168,collect,kpo
11169,pick,kpo
11170,gathering,okpukpo
11171,collecting,okpukpo
11172,picking,okpukpo
11173,collect decayed compost for application to the crops,kpo agbụgbọ
11174,clear,kpocha
11175,We are preparing to build a house on the place which is being cleared,Anyị na-akwadebe iwu ụnọ n'anị a na-ekpocha
11176,purify woman after childbirth.,Anyị na-akwadebe iwu ụnọ n'anị a na-ekpocha
11177,be bald,kpocha isi
11178,That man is bald,Nwoke afụ kpochalụ isi
11179,clean away,kpochapụ
11180,exterminate,kpochapụ
11181,fill hole,kpochi onụnụ
11182,gather and throw away,kpofụ
11183,throwing away,mkpofụ
11184,offal,ife mkpofụ
11185,fill,kpoju
11186,gather and fill,kpoju
11187,gather together,kpokọ
11188,collect,kpokọ
11189,gather together,kpokọ
11190,collect,kpokọ
11191,gather together,kpokọ
11192,collect,kpokọ
11193,gather together,kpokọba {ọnụ)
11194,collect in one place,kpokọba {ọnụ)
11195,gather together and carry away,kpokọlụ
11196,collect,kpokọlụ
11197,I have collected  the oranges on the table,Ekpokọlụgo m oloma dị nenu tebụlụ
11198,rush,kpo ọsọ
11199,run quickly,kpo ọsọ
11200,gather up,kponita
11201,gather up,kponite
11202,gather out,kpopụta
11203,gather sand,kpo uzuzụ
11204,play in and with sand,kpo uzuzụ
11205,swarm,kpo
11206,swarm,kpo lịlịlị
11207,rush away,kpowa
11208,be hot,kpo
11209,smell pleasantly and hot,kpo
11210,be hot,kpo ekpo
11211,be hot,kpo
11212,smell pleasantly and hot,kpo ekpo
11213,smell pleasantly and hot,kpo
11214,be tepid,kpo nalanala
11215,lukewarm,kpo nalanala
11216,slightly warm,kpo nalanala
11217,warmish,kpo nalanala
11218,blood-hot,kpo nalanala
11219,blood-warm,kpo nalanala
11220,at room temperature,kpo nalanala
11221,at skin temperature,kpo nalanala
11222,perspire,kpo okpoofụfụ
11223,cause perspiration,kpo okpoofụfụ
11224,be hot,kpo ọkụ
11225,be lively,kpo ọkụ
11226,upon,kpo
11227,spread upon,gbakpo
11228,cover up with words,kwukpo
11229,cover the body with clothes,yikpo
11230,sweep upon,zakpo
11231,extract,kpo-pụ
11232,extract a tooth,kpopụ eze
11233,call,kpọ
11234,invite,kpọ
11235,summon,kpọ
11236,name,kpọ
11237,calling,okpụkpọ
11238,vocation,okpụkpọ
11239,call by name,kpọ afa
11240,name,kpọ afa
11241,Call the thief by name,Kpọọ onye oriị afa
11242,I shall call him by name,Aga m akpọ ya afa
11243,Name him,Kpọọ ya afa
11244,be in an uproar,kpọ aghala
11245,be in an uproar,ayala
11246,Ada is very fond of causing an uproar,Ada ana-akpọka aghala
11247,or creating a disturbance,Ada ana-akpọka aghala
11248,hate,kpọ asị
11249,dislike,kpọ asị
11250,Hatred towards our fellow men is sin,Ịkpọ mmadụ ibe anyị asị bụ ṅjọ
11251,I hate him,Akpọlụ m ya asị
11252,or I dislike him,Akpọlụ m ya asị
11253,God the Father,Chukwu Nna
11254,God the Father,biko zọpụta anyị n'aka ndị niiịne na-akpọ anyị asị
11255,please deliver us from the hands of all that hate us,Chukwu Nna
11256,please deliver us from the hands of all that hate us,biko zọpụta anyị n'aka ndị niiịne na-akpọ anyị asị
11257,call in,kpọbata
11258,welcome,kpọbata
11259,admit,kpọbata
11260,call back,kpọchịgha
11261,recall,kpọchịgha
11262,call near,kpọdebe
11263,bring near,kpọdebe
11264,call up and out,kpọgopụta
11265,escort up and out,kpọgopụta
11266,call meeting,kpọ izu
11267,call together and take away,kpọkọlụ
11268,If you do not close the door properly my dog will come in and take away its puppies,Ọ bụlụ na ụnụ emechirọ ụzọ ọfụma nkịta m ga-abata kpọkọlụ ụmụ ya
11269,call upon,kpọkụ
11270,call to,kpọkụ
11271,blaspheme,kpọlụ
11272,take mụọ when assuming duties of ọkpala,kpọ mụụ
11273,invite masquerade to a ceremony,kpọ mụụ
11274,take mụọ when assuming duties of ọkpala,mụọ
11275,invite masquerade to a ceremony,mụọ
11276,take mụọ when assuming duties of ọkpala,ọkpala
11277,invite masquerade to a ceremony,ọkpala
11278,call home,kpọnaba
11279,take home,kpọnaba
11280,call meeting,kpọ nzụkọ
11281,call,kpọ okụ
11282,call by name,kpọ okụ
11283,sob,kpọ omịmị akwa
11284,lead out,kpọpụta
11285,Take the child out of the sun quickly,Kpọpụta nwata afụ n'anwụ ọsọọsọ
11286,arouse,kpọte
11287,waken,kpọte
11288,call upon,kpọtụ
11289,make noise,kpọtụ
11290,pronounce clearly,kpọwa
11291,echo,ọkpọ na-akpọ okụ
11292,lead,kpọ
11293,take along,kpọ
11294,go with,kpọ
11295,He comes with two persons,Ọ kpo mmadụ naabo
11296,Whom are you taking to the dance?,Onye ka ị ga-akpọ je egwu?
11297,He came to the meeting with a dog,Ọ kpọ nkịta bịa nzụkọ
11298,be dry,kpọ
11299,be ripe,kpọ
11300,drying,ọkpụkpọ
11301,be dry,kpọ akpọ
11302,Bring me a dry ear of corn,Wetalụ m ofu oko ọka kpọlụ akpọ
11303,wither,kpọ anwụ
11304,drought,mkpọ anwụ
11305,extended dry season,mkpọ anwụ
11306,severe dry season,mkpọ anwụ
11307,long period without rain,mkpọ anwụ
11308,wither,kpọkọlụ
11309,dry up,kpọkọlụ
11310,dry,kpọ mbụ
11311,dry,kpọ mgbụ
11312,be dry,kpọ nkụ
11313,Bring me a dry leaf,Wetalụ m akwụkwọ kpọlụ nkụ
11314,If you place that fresh fish over the fire it will get dry quickly,Ọ bụlụ na ị ṅaa azụ ndụ afụ nọkụ ọ ga-akpọ nkụ ọsọ ọsọ
11315,dryness,ọkpọn kụ
11316,dry up,kpọnwụ
11317,shrivel,kpọnwụ
11318,wither,kpọnwụ
11319,If you do not water the flowering plant in front of the house it will wither,Ọ bụlụ na ị gbarọ ododo dị niru iịlọ mmiliị ọ ga-akpọnwụ
11320,intense thirst,akpịli ịkpọ nkụ
11321,strike,kpọ
11322,knock,kpọ
11323,drive nail or stake in,kpọ
11324,cut,kpọbe
11325,abrade,kpọbe
11326,stub,kpọbe
11327,cut asunder by placing sharp pointed instrument like an anvil on top and knocking its head with the hammer,kpọbe
11328,knock and cut,kpọbe ụkwụ
11329,hurt,kpọbe ụkwụ
11330,stub the toes,kpọbe ụkwụ
11331,level ground,kpọbo anị
11332,break ground,kpọbo anị
11333,nail,kpọdo
11334,fasten,kpọdo
11335,crucify,kpọdo n'obe
11336,nail on cross,kpọdo n'obe
11337,hiccough,kpọ etụketụ
11338,I have hiccoughs,Etụketụ na-akpọ m
11339,crucify,kpọgbu
11340,kill by nailing,kpọgbu
11341,The Crucified,Onye a kpọgbụlụ n'obe
11342,kneel and touch ground with head in humiliation and entreaty,kpọ isi anị
11343,chop across grain,kpọji
11344,knock in,kpọmị
11345,fasten,kpọmịna
11346,knock completely in,kpọmịna
11347,to drive,kpọ mkpụkpọ
11348,I am going to put pegs along the boundary between Ịba and myself,Ana m eje ịkpọ mkụkpọ n'oke mụ na Ịba
11349,I am going to put pegs along the boundary between Ịba and myself,Ịba
11350,shrug the shoulders,kpọ n'ụbu
11351,nail,kpọnye
11352,drive a peg or skewer,kpọnye
11353,dive,kpọ omịmị
11354,force open,kpọpu
11355,open by perforating with pointed object,kpọpu
11356,break ground,kpọpu
11357,stub the toes,kpọ ụkwụ
11358,split,kpọwa
11359,divide by splitting,kpọwa
11360,turn a somersault,kpọ ụgba
11361,part the hair,kpọwa isi
11362,rush,kpọwalụ
11363,run away,kpọwalụ
11364,rush,kpọwa
11365,run away,kpọwa
11366,take snuff,kpọ anwụlụ
11367,take snuff,kpọ ụtaba
11368,suffer blindness,kpọ
11369,destruction of an eye or both eyes due to injury,kpọ
11370,disease,kpọ
11371,etc.,kpọ
11372,The man who fell off the palm tree is now blind,Anya akpọgo nwoke afụ dalụ enu nkwụ
11373,blindness,anya mkpọ
11374,buy,kpọ
11375,purchase,kpọ
11376,buy,kpọta
11377,purchase,kpọta
11378,I bought a new cloth,Akpotalụ m akwa ọfụụ
11379,I am going to purchase another pot,Ana m eje ịkpota ịte ọzọ
11380,buy mat,kpọ ute
11381,expose,kpọ
11382,display,kpọ
11383,expose,kpọba afịa
11384,display wares for sale,kpọba afịa
11385,blossom,kpọ ịfulu
11386,flower,kpọ ịfulu
11387,blossom,kpọ ịgụgụ
11388,flower,kpọ ịgụgụ
11389,blossom,kpọ ịgụgụ
11390,flower,kpọ ịgụgụ
11391,clear by setting fire to,kpọ
11392,burn,kpọ
11393,clear ground by burning,kpọ anị
11394,clear,kpọcha
11395,clean by burning,kpọcha
11396,Go and make the fire with which the hair of the sheep that is about to be slaughtered will be burned off,Jee kwanwue ọkụ a ga-eji kpọcha atụlụ a na-akwadebe igbu
11397,burning,mkpọcha
11398,build up a fire,kpọnye ọkụ
11399,set fire to,kpọnye ọkụ
11400,burn off with fire,kpọnye ọkụ
11401,We want to burn off  a goat,Anyị chọlụ ịkpọ ewu ọkụ
11402,I am going to build up the fire with which the fresh fish will be dried,Ana m eje ịkpọnye ọkụ a ga-eji mị azụ ndụ afụ
11403,break,kpọ
11404,The egg you want to boil has broken,Akwa ị chọlụ isịị akpọgo
11405,He almost broke the egg I am preparing to cook,Ọ fọlụ nwantịntị ka o tikpọọ akwa m na-akwadebe isịị
11406,break,gbakpọ
11407,The egg has broken,Akwa agbakpọgo
11408,grind dry thing,kpọlị
11409,break into splinters or pieces,kpọlị
11410,grinding,mkpọlị
11411,rub,kpọ
11412,pluck off,kpọ
11413,remove the grains from the ear of maize,kpọ ọka
11414,rub,kpọsị
11415,pluck off grains from cob,kpọsị
11416,etc.,kpọsị
11417,rub off grains from cob,kpọsị ọka
11418,play musical instrument,kpọ ụbọ
11419,cause confusion,kpọ
11420,riot,kpọ
11421,tumult,kpọ
11422,cause confusion,kpọ aghala
11423,riot,kpọ aghala
11424,tumult,kpọ aghala
11425,denoting thoroughness arising from repeated action,kpọ
11426,discuss very thoroughly,gbakpọ ịzụ
11427,again,gbakpọ ịzụ
11428,We really had a thorough discussion,Anyị gbakpọlụ izu agbakpọ
11429,Go and discuss it again,Jee nụ gbakpọ izu
11430,curse,kpọ
11431,abuse,kpọ
11432,curse,kpọ iyịị
11433,abuse,kpọ iyịị
11434,Iwu is cursing me,Iwu na-akpọ m iyịị
11435,reproach,kpọlị
11436,abuse,kpọlị
11437,reproach,mkpọlị
11438,abuse,mkpọlị
11439,abuse,kpọlụ
11440,reproach,kpọlụ
11441,denoting thoroughness,kpọ
11442,proper performance,kpọ
11443,I can't eat yam if it is not thoroughly done,Ji ada ekwe m iliị ma ọ bụlụ na o ghekpọrọ eghekpọ
11444,She is telling Ada to grind the galena stone that she is grinding very thoroughly,Ọ na-agwa i Ada na nya chọlụ ka Ada gwekpọọ tanjele ọ na-egwe egwekpọ
11445,shut,kpọ-chi
11446,be shut,kpọ-chi
11447,shut,kpọchi
11448,lock,kpọchi
11449,turn,kpọchi
11450,imprison,kpọchi
11451,button,mkpọchi
11452,shut out or in,kpọchibịdo
11453,The door has shut against me,Ụzọ akpọchịbịdogo m
11454,Are you trying to shut the door against me? or Are you going to shut the door against me? or Are you going to lock me out ?,Ị na-achọ ịkpochịbịdo m ụzọ
11455,be deaf,kpọchi ntị
11456,stubborn,kpọchi ntị
11457,stubbornness,mkpọchi ṅtị
11458,habitual disobedience,mkpọchi ṅtị
11459,turn off  tap,kpọchi mmiliị
11460,close,kpọchita
11461,shut,kpọchita
11462,see kpo,kpọ-kọ
11463,see kpo,kpo
11464,see kpo,kọ
11465,roll,kpọ-le
11466,roll,tụlụ
11467,rolling,mkpọle
11468,roll down,kpọleda
11469,roll across,kpọlefega
11470,roll up,kpọlegota
11471,roll away,kpọlepụ
11472,off,kpọlepụ
11473,Two oranges have rolled away,Oloma naabọ akpọlepụgo
11474,strike a hard surface,kpọm
11475,drip,kpọm
11476,strike a hard surface,tụ kpọm
11477,drip,tụ kpọm
11478,strike a hard surface,tụ pọm
11479,drip,tụ pọm
11480,no,kpọọ
11481,no,mba
11482,in,kpu
11483,fall in,dakpu
11484,go in,nakpu
11485,cover,kpụ
11486,put on,kpụ
11487,wear,kpụ
11488,covering,okpụkpụ
11489,cover the body with cloth,kpụ akwa
11490,cover,kpụchi
11491,cover up,kpụchi
11492,shut in or out,kpụchibịdo
11493,confine by shutting up,kpụchibịdo
11494,hush,kpụchi ọnụ
11495,shut one's mouth,kpụchi ọnụ
11496,cover up,kpụchita
11497,shut up,kpụchita
11498,shut,kpụchita
11499,cover,kpụchita
11500,cover,kpụdo
11501,use one thing to cover up another,kpụdo
11502,covering,mkpụdo
11503,roof a house,kpụ enu ụnọ
11504,uncover,kpụghe
11505,reveal,kpụghe
11506,put on a mask,kpụ mmụọ
11507,put on,kpụ okpu
11508,wear hat,kpụ okpu
11509,cap,kpụ okpu
11510,wear crown,kpụ okpu eze
11511,wear crown of thorns,kpụ okpu ogwu
11512,uncover,kpụpụ
11513,take off,kpụpụ
11514,take off coverlet,kpụpụ akwa
11515,remove hat,kpụpụ okpu
11516,cap,kpụpụ okpu
11517,etc.,kpụpụ okpu
11518,cover,sikpụ
11519,obscuring,nsikpụ
11520,sit on eggs,kpụ n'akwa
